Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
Australia,99.43,100,87.1,91.23,97.99,89.09,83.4,84.82,93.41,87.19,77.19,80.8,5,8,5.95,3.8,12.81,93.96650794,100,100,0.49,100,6.36,0,1,1,2,1.5,5.4,97.36388889,99.92,137.56,0.95,132.8,84.56,17.84,25.47,199,10.24,8.92,95,87.18,670.74,40,16,0.87,90,0.92,4,0.01,82.3,79,0.84,0.73,4.1,3,0.94,1.05,14.54,0.02,61,0.57,8,97.19527778,100,0.05,100,670.74,9,5,High income
Austria,99.53,100,90.15,93.22,98,90.7,78.77,90.78,93.93,84.41,73.76,62.47,5,8,3.8,3.5,8.89,100,100,100,0.58,100,6.61,0,0.5,1,2,1,5.4,97.36388889,96.93701754,100.02,0.95,157.41,83.93,13.18,24.15,232.6,12.52,22.91,94.31,93.33,211.83,37,16,0.93,90,0.88,3,0,83.1,75,0.74,0.68,4,3,0.93,0.56,13.29,0.03,13,0.29,8,97.19527778,100,0.05,100,211.83,5,4,High income
Azerbaijan,96.18,76.97,82.4,75.1,98.42,71.83,65.66,59.42,18.4,48.17,39.9,51.53,5,12,25.07,31.7,41.82,66.19,77.75,89.35,0.61,100,5.11,17.06,2.5,2,3,3,10,99.81,98.84,90.56428571,1.036938776,111.28,77,57.89,18.72,503.2,4.11,81.23,9.73,75.83,469.46,4,2,0.588857143,20,0.65,1,0.08,34.1,30,0.53,0.03,6.7,2,0.76,0.491081081,13.16,0.08,3,0.12,12,99,88.7244898,0.065102041,100,469.46,2,3,Upper middle income
"Bahamas, The",98.78702128,95.31,85.8374,84.57826087,96.47425926,85.59214286,75.33,81.07979592,81.33,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,80.01,12.1,73.83,95.06,98.35,92.01,0.5088,100,6.023333333,1.2,29.8,1.670212766,2.553191489,1.489361702,13.8,97.36388889,97.81,92.63,1.05,80.29,78,23.46236364,22.54,422.3,3.35,29.56,64.73425926,74.59,488.57,38,15,0.71,70,0.805294118,3,0.034081633,81.9,66,0.651,0.574888889,4.1,4,0.8948,0.883846154,13.64,0.08,0,0,11.61818182,97.19527778,92.63,0.05,80.29,488.57,0,0,High income
Bahrain,98.78702128,99.74,87.45,71.6,96.97,77.38,73.08,69.69,27.24,66.93,51.94,50.91,5.125454545,11.43636364,15.18,6.2,26.46,100,100,99.2,0.58,97.7,6.16,0.24,0.5,2,4,3,8,95.72,96.93701754,99.38,1.04,185.26,93.48,54.86,19.66,269.7,6.29,46.2,72.68,56.54,619.51,2,2,0.785789474,60,0.88,2,0.04,58.1,43,0.75,0.574888889,7.9,3,0.86,0.33,10.53,0.066976744,2,0.61,11.61818182,95.72,99.38,0.04,100,619.51,2,6,High income
Bangladesh,86.34,57.26,55.94,70.05,77.14,53.3,62.69,48.52,37.53,49.98,41.59,17.78,16.4,116,176.14,37.6,95.13,11.78,87.03,60.56,0.78,59.6,3.21,133.32,2.8,2,3,4,13.6,61.49,96.26,63.52,1.13,81.9,14.4,45.94,18.97,515.1,9.62,133.18,0,63.77,376.07,20,7,0.37,20,0.82,3,0.46,74.1,26,0.72,0.36,8.9,2,0.65,0.16,5.09,0.39,1,0.01,116,61.49,63.52,0.13,81.9,376.07,1,1,Lower middle income
Barbados,97.3,98.23,83.88,84.57826087,94.92,83,71.08,57.37,89.73,76.98408163,66.55276596,33.86,5,21,27.16,13,62.92,98.42,99.74,96.21,0.5088,90.88,6.04,0.14,8.8,1.670212766,2.553191489,1.489361702,6.7,97.36388889,91.95,109.25,1.03,116.46,76.11,23.46236364,19.76,374,4.63,26.62,64.73425926,26.5,773.05,40,16,0.82,80,0.805294118,4,0.034081633,75,61,0.651,0.574888889,4.1,4,0.8948,0.15,11.15,0.06,0,0,21,97.19527778,100,0.03,100,773.05,0,0,High income
Belarus,99.29,95.42,78.74,75.36,99.5,69.25,45.11,55.61,23.49,61.58,48,62.29,5,8,4.26,4.6,19.6,91.48,99.06,94.32,0.35,100,4.323421053,1.79,3.6,2,3,2.5,13.7,99.72,99.95,107.12,0.99,123.64,62.23,54.32,18.82,684.3,31.71,81.8,7.18,73.06,646.02,5,3,0.36,20,0.6,2,0.04,72.4,40,0.39,0.09,7.1,4,0.89,0.491081081,14.86,0.04,3,0.11,8,99,100,0.01,100,646.02,2,3,Upper middle income
Belgium,99.19,99.83,90.18,83.87,95.03,90.62,75.67,90.03,89.44,84.79,75.17,71.94,5,8,6.97,4.1,28.91,100,100,99.48,0.68,100,6.21,0,1.8,2,3,1,6.7,97.36388889,99.83,164.81,1.13,115.69,85.05,14.18,24.06,252.2,16.77,24.76,89.78,100,277.78,40,15,0.86,80,0.86,3,0.01,86,77,0.71,0.85,4.4,3,0.93,1.17,14.51,0.08,16,0.38,8,97.19527778,100,0.13,100,277.78,6,4,High income
Belize,95.39,91.69,73.01,64.90926829,90.43,62.81,62.08,51.32,68.35,60.9365,55.83,28.77,6.2,40,27.7,16.5,113.47,80.61,100,90.54,0.39,100,4.323421053,21.08,34.4,3.05952381,3.476190476,2.80952381,24.4,82.78,98.16,80.79,1.02,60.97,41.59,20.61,17.07,463.1,7.39,53.41,2.28,99.03,3574.4,36,15,0.58,35,0.86,4,0.106,70.1,38.75510204,0.49,0.22,4.1,4,0.75,0.2,9.78,0.16,0,0,40,82.78,80.79,0.02,60.97,1500,0,0,Upper middle income
Benin,78.9,38.7,30.52,63.02,63.85,59.05,52.81,52.88,71.33,48.78,52.88,7.53,7.5,48,404.94,99.5,414.44,17.72,72.15,19.72,0.36,38.4,1.69,188.36,6.3,3,4,2,27.7,38.45,96.2,56.81,0.7,85.64,6.79,28.97,15.66,563.2,14.14,96.11,0.01,77.29,650.83,33,15,0.593333333,30,0.74,4,0.22,25.3,36,0.78,0.1,3.6,4,0.49,0.15,2.73,0.45,0,0,48,38.45,56.81,0.3,85.64,650.83,0,0,Low income
Bermuda,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,6.320689655,40.18,93.96650794,97.95269841,96.83621212,0.5088,100,6.023333333,1.91,4.8,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,83.48,71.54,1.12,57.95,98.32,23.46236364,22.82844828,281.2,4.81,19.37,0.25,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,71.54,0.12,57.95,390.9864815,0,0,High income
Bhutan,84.93428571,72.64,80.42,89.21,80.61,67.67,72.07,66.15,61.46,73.23,48.38,6.85,13.66428571,94.23809524,147.89,32.9,123.24,58.19,100,50.4,0.86,75.56,5.76,54.79,2.7,1,2,1,15.1,63.91,88.98,84.2,1.07,87.03,39.8,30.73,20.49,337.2,7.18,83.37,0,96.34,168.22,28,9,0.574285714,60,0.81,2,0.14,83.1,65,0.6,0.16,7.6,3,0.84,0.339375,3.23,0.45,0,0,94.35714286,63.91,84.2,0.07,87.03,168.22,0,0,Lower middle income
Bolivia,86.16,68.29,75.52,67.71,91.22,70.51,70.96,60.73,57.11,60.94,60.45,33.52,15.9,104,206.21,38.4,117.99,84.41,75.59,50.33,0.47,90.5,5,29.4,12.4,3,3,2,23.2,95.14,90.15,86.41,0.98,92.18,45.1,31.78,21.35,319.4,12.89,54.38,3.51,90.06,776.16,29,14,0.56,10,0.87,4,0.15,52.8,33,0.68,0.4,6.2,4,0.79,0.82,9.86,0.25,0,0,104,95.14,86.41,0.02,92.18,776.16,0,0,Lower middle income
Bosnia and Herzegovina,99.25,94.85,75.08,76.43,91.84930233,76.38,73.4,50.22,52.93,47.66,43.42,35.96,5,8,11.25,5.4,10.39,87.21,100,94.78,0.49,100,4.59,42.1,1.3,2,3,2,17.7,98.49,94.47297872,90.56428571,1.036938776,90.15,65.07,28.45,20.6,337,5.14,48.5,0,36.62,784.35,21,10,0.68,20,0.59,4,0.17,27.9,39,0.48,0.07,7,3,0.79,0.491081081,11.3,0.13,0,0,8,98.49,88.7244898,0.065102041,90.15,784.35,0,0,Upper middle income
Botswana,75.6,77.62,53.89,75.37,87.89,71.95,43.32,63.99,69.06,76.44,57.49,20.68,24.1,177,128.95,43.6,638.95,74.39,92.27,63.43,0.52,53.24,3.3,93.16,14.8,3,2,1,23.6,88.22,92.02,81.37,1.06,169,27.5,22.91,17.22,733.9,27.11,66.74,0.95,93.75,456.98,28,12,0.63,70,0.84,4,0.05,74.9,60,0.66,0.2,5.1,4,0.76,0.15,8.71,0.32,0,0,177,88.22,81.37,0.06,100,456.98,0,0,Upper middle income
Brazil,97.07,86.62,73.9,48.38,94.11,76.67,73.57,73.87,71.64,73.23,68.34,50.21,5,10,43.67,16.4,69.62,93.7,86.96,82.78,0.38,99.5,4.1,10.36,24.6,4,4,4,23.4,92.59,96.67,101.95,1.08,126.59,59.08,32.62,21.67,369.2,6.56,30.95,17.56,92.62,355.86,31,15,0.69,45,0.8,4,0.04,86.8,40,0.7,0.7,5.7,3,0.91,0.38,9.6,0.24,34,0.11,10,92.59,100,0.08,100,355.86,8,3,Upper middle income
British Virgin Islands,98.78702128,90.08,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,75.3,94.85,97.5,0.5088,95.8484,6.023333333,1.558852459,8.4,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,98.73,1.007868852,145.83,37.6,23.46236364,22.82844828,281.2,11.40114754,28.9457377,6,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,98.73,0.047868852,100,390.9864815,0,0,High income
Brunei Darussalam,98.14,96.4240625,85.8374,84.57826087,98.27,71.82,74.38,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,12,22.61,10.2,43.39,93.96650794,97.95269841,96.83621212,0.5088,76.16,5.29,0,0.5,1.670212766,2.553191489,1.489361702,6.8,96.66,99.51,96.08,1,108.13,71.2,53.85,21.31,362.1,4.33,11,64.73425926,86.74,678.51,7,6,0.785789474,30,0.805294118,2,0.034081633,75.61730769,58,0.651,0.574888889,5.9,3,0.8948,0.36,14.54,0.066976744,0,0,12,96.66,96.08,0,100,678.51,0,0,High income
Bulgaria,98.7,94.74,83.42,75.86,96.27,75.33,62.82,71.76,68.17,58.77,49.34,57.81,5,8,10.85,10.4,18.71,99.08,98.98,85.98,0.74,100,4.62,10.47,1.6,3,3,2,8.3,98.39,95.14,99.02,0.97,129.27,56.66,34.46,19.55,521.4,10.93,69.71,60.81,88.98,531.55,33,14,0.7,30,0.66,2,0.09,61,41,0.26,0.22,5.3,3,0.92,0.85,13.62,0.06,2,0.15,8,98.39,99.02,0.03,100,531.55,2,3,Upper middle income
Burkina Faso,71.48,37.8,28.49,60.98,54.85,60.92,55.59,54.07,63.04,47.43,55.64,6.65,20.7,167,370.62,88.6,500.99,7.99,75.83,19.73,0.41,13.1,1.69,158.67,0.7,4,3,3,30,37.75,69.76,33.67,0.92,80.64,11.39,22.66,15.39,484.2,12.51,86.23,0,88.05,814.89,23,14,0.7,30,0.62,4,0.32,42.2,42,0.78,0.09,4.7,3,0.76,0.089090909,1.86,0.39,0,0,167,37.75,33.67,0.08,80.64,814.89,0,0,Low income
Burundi,70.50777778,45.69,25.18,60.29,79.55,35.07,55.55,54.29,28.49,45.25,34.41,11.24,24.64074074,185.5555556,711.6,81.7,474.05,6.99,73.77,48.01,0.3,6.5,2.12,174.19,4,3.5,4,3,21.3,85.5,94.68,42.48,0.91,46.22,4.87,54.1,16.52,543.1,13.05,95.24,0,64.71,404.14,5,6,0.593333333,20,0.43,3,0.1,52.8,20,0.58,0.03,8.1,3,0.56,0.04,4.23,0.37,0,0,185.5555556,85.5,42.48,0.09,46.22,404.14,0,0,Low income
Cabo Verde,92.51,74.08,59.78,63.07775,90.33,77.26,61.87,59.3,85.54,56.89425,43.62184211,20.61,9.4,68,42.35,24.5,122.6,59.44,87.29,72.22,0.506756757,70.56,3.31,58.51,10.6,3.182926829,3.414634146,3.036585366,26.1,88.47,97.28,92.9,1.12,118.58,43.02,19.82,18.86,378.1,18.07,64.97,3.548205128,37.03,204.55,37,15,0.574285714,75,0.721794872,4,0.158717949,76.5,59,0.528461538,0.161621622,4.1,4,0.75974359,0.339375,6.14,0.18,0,0,68,88.47,92.9,0.12,100,204.55,0,0,Lower middle income
Cambodia,87.73,45.64,52.16,60.36,73.56,62.91,56.57,57.76,37.61,61.83,41.19,17.13,14.2,97,160.54,28.7,169.27,21.43,69.14,42.43,0.78,31.1,3.32,109.19,1.8,4,4,3,17.4,78.35,88.86,45.05,0.85,133,19,40.7,17.31,532,14.36,81.74,0,88.15,623.15,11,8,0.43,25,0.95,3,0.11,58.8,21,0.17,0.27,7.1,4,0.75,0.1,5.69,0.28,0,0,97,78.35,45.05,0.15,100,623.15,0,0,Lower middle income
Cameroon,74.93,37.77,39.5,54.68,78.44,53.49,54.45,36.99,38.25,46.47,41.72,17.22,9.9,63,596.44,87.9,534.11,16.75,52.71,45.8,0.36,53.7,2.13,154.55,2.7,4,4,3.5,27.6,74.99,95.55,58.08,0.86,71.85,20.68,40.53,16.48,543.4,14.89,123.08,0,77.33,1404.66,9,7,0.53,25,0.69,4,0.26,38.7,26,0.63,0.05,8.5,4,0.66,0.12,7.17,0.35,0,0,63,74.99,58.08,0.14,71.85,1404.66,0,0,Lower middle income
Canada,99.26,99.42,88.12,92.74,99.68,85.11,81.6,80.17,94.32,88.47,81.87,87.34,5,8,7,4.9,17.42,93.96650794,99,99.82,0.5,100,6.54,0,1.5,1,2,1,6,97.36388889,99.46,109.93,1,82.98,88.47,15.26,25.03,223.8,10.74,11.85,69.81,74.5,494.63,40,16,0.89,90,0.91,4,0.03,88.3,82,0.88,0.87,3.6,3,0.92,1.64,15.65,0.04,45,0.23987013,8,97.19527778,100,0,82.98,494.63,8,5,High income
Cayman Islands,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,91.1,97.95269841,95.55,0.5088,90.88,6.023333333,1.558852459,14.7,1.670212766,2.553191489,1.489361702,8.170344828,98.87,96.93701754,106.1520968,1.007868852,155.49,77,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,98.87,96.92709677,0.047868852,100,390.9864815,0,0,High income
Central African Republic,41.62,26.67,6.96,36.05,37.03,35.61,37.16,31.83,20.55,35.9,18.75,12.39,47.7,380,882.07,130.1,897.23,1.61,54.35,21.79,0.21,10.8,2.444782609,296.5,13.2,5,5,5,32.4,36.75,70.84,17.38,0.51,25.87,4.56,33.6,16.06,966.5,21.97,163.49,0,90.87,11031.69,4,4,0.593333333,10,0.6,4,0.42,37.8,20,0.58,0.05,9.3,2,0.29,0.06,4.27,0.35,0,0,380,36.75,17.38,0.49,25.87,1500,0,0,Low income
Chad,52.61,20.34,22.68,51.26,40.63,37.5,56.3,44.07,27.81,27.83,42.08,5.15,34.4,261,856.25,138.7,595.06,6.42,44.75,12.08,0.36,6.4,1.85,197.9,9.2,4,5,3,24.1,40.02,79.12,22.4,0.46,40.17,2.7,40.59,15.82,517.6,10.82,109.98,0,80.62,1122.71,4,6,0.593333333,20,0.51,4,0.45,19.4,20,0.69,0.07,8.5,4,0.61,0.089090909,1.63,0.42,0,0,261,40.02,22.4,0.54,40.17,1122.71,0,0,Low income
Channel Islands,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,100,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
Chile,98.14,96.27,82.4,77.67,97.64,83.16,79.37,83.65,89.66,73.54,72.76,56.19,5,20,22.11,8.1,38.01,99,93.28,99.05,0.37,99.6,5.9,1.91,3.6,2,3,2,12.4,96.63,97.21,100.65,1.01,129.47,64.29,19.23,24.42,242.9,11.76,28.15,84.5,75.15,274,37,16,0.83,85,0.64,4,0.06,81.2,66,0.7,0.62,3.8,4,0.84,0.54,13.29,0.13,14,0.18,20,96.63,100,0.01,100,274,5,3,High income
China,94.94,81.8,79.15,64.01,95.48,53.18,68.03,58,15.21,71.09,37.76,46.05,9.3,74,26.69,10.7,26.14,73.07,92.97,76.47,0.56,100,5.25,44.69,0.8,2,4,4,18.8,96.36,94.47297872,94.3,1.03,92.18,50.3,80.96,19.73,392.6,9.04,84.29,27.93,77.45,755.44,1,3,0.18,20,0.76,1,0.02,94.5,40,0.4,0.14,8.1,3,0.73,0.18,9.82,0.162926829,96,0.05,74,96.36,94.3,0.03,92.18,755.44,9,1,Upper middle income
Colombia,94.42,78.34,77.95,51.66,93.62,71.45,78.05,73.11,65.62,67.03,58.03,51.35,8.8,62,64.33,15.9,36.57,87.85,73.82,81.1,0.47,97,4.81,12.9,27.9,4,4,3.5,16.8,94.58,94.99,98.09,1.07,115.74,55.9,44.11,21.72,228.5,6.19,31.71,12.24,87.99,277.54,29,12,0.65,50,0.82,4,0.17,82.8,37,0.66,0.44,7,3,0.88,0.9,10.81,0.21,12,0.1,62,94.58,98.09,0.07,100,277.54,5,2,Upper middle income
Comoros,70.50777778,57.37,50.92,59.12967742,77.65,50.24,59.63,68.2,53.42,40.27,50.22,12.7,24.64074074,185.5555556,335.23,73.5,282.48,38.03,89.14,35.82,0.4,69.3,2.444782609,122.22,7.8,3.484848485,3.727272727,3.318181818,21.8,78.14,85.13,60.35,1.07,55.16,7.46,24.33,16.31,449,10.08,47.15,0.187666667,68.38,397.93,24,10,0.593333333,30,0.53,3,0.26516129,34,24,0.65,0.08,5,3,0.72,0.089090909,6.03,0.48,0,0,185.5555556,78.14,60.35,0.07,55.16,397.93,0,0,Low income
